Ticker,Company,Fiscal Year,Currency,Revenue,Operating Income,Backlog,Defense Backlog,Book to Bill,Manual Revenue Growth,Source URL,Source Note
LMT,Lockheed Martin,2024,USD billions,71.0,7.5,176.0,,1.12,0.05,https://investors.lockheedmartin.com/news-releases/news-release-details/lockheed-martin-reports-fourth-quarter-and-full-year-2024/,Record year-end backlog of $176.0B and 2024 sales growth cited in FY2024 results.
RTX,RTX,2024,USD billions,80.8,8.7,218.0,93.0,1.11,0.11,https://www.rtx.com/news/news-center/2025/01/28/rtx-reports-2024-results-and-announces-2025-outlook-2,Company backlog of $218B including $93B defense backlog in FY2024 results.
NOC,Northrop Grumman,2024,USD billions,41.0,4.1,91.5,,1.00,0.04,https://www.northropgrumman.com/who-we-are/annual-reports,Backlog and sales inputs from FY2024 reporting and annual-report references.
GD,General Dynamics,2024,USD billions,47.7,4.8,90.6,,1.00,0.129,https://s22.q4cdn.com/891946778/files/doc_financials/2024/ar/2024-Annual-Report-General-Dynamics-Corporation.pdf,Year-end 2024 backlog of $90.6B and FY2024 revenue from annual-report / results release.
BA.L,BAE Systems,2024,GBP billions,28.335,3.015,77.8,,1.19,0.14,https://www.baesystems.com/annualreport/2024.html,2024 sales of GBP28.335B underlying EBIT GBP3.015B order intake GBP33.7B backlog GBP77.8B.
RHM.DE,Rheinmetall,2024,EUR billions,9.75,1.48,55.0,,2.00,0.36,https://www.rheinmetall.com/en/media/news-watch/news/2025/03/2025-03-12-rheinmetall-financial-figures-fical-year-2024,Record FY2024 sales around EUR9.75B and backlog around EUR55B from Rheinmetall FY2024 reporting.
